2017-11-11 18:42:10.774 UTC,"docker","docker",57,"172.17.0.1:38826",5a07446d.39,18755,"UPDATE",2017-11-11 18:41:49 UTC,12/1538,14836,LOG,00000,"duration: 2.036 ms  execute putVoteByThrID: WITH sub AS (INSERT INTO vote (user_id, thread_id, voice) VALUES ((SELECT id FROM users WHERE nickname=$1), $2, $3) ON CONFLICT ON CONSTRAINT unique_user_and_thread DO UPDATE SET prev_voice = vote.voice ,voice = EXCLUDED.voice RETURNING prev_voice, voice, thread_id) UPDATE thread SET votes_count = votes_count - (SELECT prev_voice-voice FROM sub) WHERE id = $2 RETURNING id, slug::TEXT, title, message, forum_slug::TEXT, user_nick::TEXT, created, votes_count;","parameters: $1 = 'lenia.ZE3sRYuYuAB7rx', $2 = '5977', $3 = '-1'",,,,,,,,""
2017-11-11 18:42:10.774 UTC,"docker","docker",58,"172.17.0.1:38828",5a07446d.3a,18686,"COMMIT",2017-11-11 18:41:49 UTC,13/0,0,LOG,00000,"duration: 0.055 ms",,,,,,,,,""
2017-11-11 18:42:10.774 UTC,"docker","docker",55,"172.17.0.1:38822",5a074468.37,18274,"COMMIT",2017-11-11 18:41:44 UTC,10/0,0,LOG,00000,"duration: 0.114 ms",,,,,,,,,""
2017-11-11 18:42:10.774 UTC,"docker","docker",61,"172.17.0.1:38834",5a07446d.3d,18400,"BEGIN",2017-11-11 18:41:49 UTC,15/1520,0,LOG,00000,"duration: 0.017 ms",,,,,,,,,""
2017-11-11 18:42:10.774 UTC,"docker","docker",56,"172.17.0.1:38824",5a07446d.38,18868,"BEGIN",2017-11-11 18:41:49 UTC,11/1567,0,LOG,00000,"duration: 0.093 ms",,,,,,,,,""
2017-11-11 18:42:10.774 UTC,"docker","docker",57,"172.17.0.1:38826",5a07446d.39,18756,"COMMIT",2017-11-11 18:41:49 UTC,12/0,0,LOG,00000,"duration: 0.055 ms",,,,,,,,,""
2017-11-11 18:42:10.774 UTC,"docker","docker",59,"172.17.0.1:38830",5a07446d.3b,18898,"COMMIT",2017-11-11 18:41:49 UTC,14/0,0,LOG,00000,"duration: 0.414 ms",,,,,,,,,""
2017-11-11 18:42:10.774 UTC,"docker","docker",56,"172.17.0.1:38824",5a07446d.38,18869,"BIND",2017-11-11 18:41:49 UTC,11/1567,0,LOG,00000,"duration: 0.144 ms",,,,,,,,,""
2017-11-11 18:42:10.775 UTC,"docker","docker",61,"172.17.0.1:38834",5a07446d.3d,18401,"BIND",2017-11-11 18:41:49 UTC,15/1520,0,LOG,00000,"duration: 0.265 ms",,,,,,,,,""
2017-11-11 18:42:10.775 UTC,"docker","docker",58,"172.17.0.1:38828",5a07446d.3a,18687,"BEGIN",2017-11-11 18:41:49 UTC,13/1523,0,LOG,00000,"duration: 0.031 ms",,,,,,,,,""
2017-11-11 18:42:10.775 UTC,"docker","docker",55,"172.17.0.1:38822",5a074468.37,18275,"BEGIN",2017-11-11 18:41:44 UTC,10/1503,0,LOG,00000,"duration: 0.102 ms",,,,,,,,,""
2017-11-11 18:42:10.775 UTC,"docker","docker",59,"172.17.0.1:38830",5a07446d.3b,18899,"BEGIN",2017-11-11 18:41:49 UTC,14/1542,0,LOG,00000,"duration: 0.015 ms",,,,,,,,,""
2017-11-11 18:42:10.775 UTC,"docker","docker",58,"172.17.0.1:38828",5a07446d.3a,18688,"BIND",2017-11-11 18:41:49 UTC,13/1523,0,LOG,00000,"duration: 0.076 ms",,,,,,,,,""
2017-11-11 18:42:10.775 UTC,"docker","docker",57,"172.17.0.1:38826",5a07446d.39,18757,"BEGIN",2017-11-11 18:41:49 UTC,12/1539,0,LOG,00000,"duration: 0.013 ms",,,,,,,,,""
2017-11-11 18:42:10.776 UTC,"docker","docker",59,"172.17.0.1:38830",5a07446d.3b,18900,"BIND",2017-11-11 18:41:49 UTC,14/1542,0,LOG,00000,"duration: 0.031 ms",,,,,,,,,""
2017-11-11 18:42:10.776 UTC,"docker","docker",60,"172.17.0.1:38832",5a07446d.3c,18746,"COMMIT",2017-11-11 18:41:49 UTC,17/0,0,LOG,00000,"duration: 0.108 ms",,,,,,,,,""
